Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2020	Canoe Beach	08/22/17	9:22											deg C	ppt	mg/L	%					Do not enter here - calculated			0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	yes	no	no	24	R2RS	LLHS				RWA	RWA170711	2021	Wahikuli	2017-07-11	9:44										RWA170711	27.3	34.1	6.33	96.3	8.18	0.67	0.67	0.67	0.67	0.000								
yes	yes	yes	no	no	25	R2RS	LLHS				RNS	RNS170801	2006	Napili Bay	2017-08-01	8:00										RNS170801	26.9	32.9	6.75	101.4	8.09	0.74	0.74	0.74	0.74	0.000								
yes	yes	yes	no	no	25	R2RS	LLHS				RPO	RPO170801	2010	Pohaku	2017-08-01	8:28										RPO170801	26.9	32.6	6.54	98.2	8.16	2.34	2.34	2.34	2.34	0.000								
yes	yes	yes	no	no	25	R2RS	LLHS				RKS	RKS170801	2071	Kaanapali Shores	2017-08-01	8:52										RKS170801	26.9	34.1	5.88	88.9	8.07	3.17	3.17	3.17	3.17	0.000								
yes	yes	yes	no	no	25	R2RS	LLHS				RAB	RAB170801	2017	Airport Beach	2017-08-01	9:14										RAB170801	27.5	34.0	6.41	98.0	8.15	0.35	0.35	0.35	0.35	0.000								
yes	yes	yes	no	no	25	R2RS	LLHS				RCB	RCB170801	2020	Canoe Beach	2017-08-01	9:36										RCB170801	27.6	33.9	6.67	102.0	8.18	4.70	4.70	4.70	4.70	0.000								
yes	yes	yes	no	no	25	R2RS	LLHS				RWA	RWA170801	2021	Wahikuli	2017-08-01	9:58										RWA170801	27.6	34.2	6.63	101.5	8.18	0.56	0.56	0.56	0.56	0.000								
yes	yes	yes	no	no	26	R2RS	LLHS				RNS	RNS170822	2006	Napili Bay	2017-08-22	7:55										RNS170822	26.4	33.6	6.61	99.0	8.04	1.52	1.52	1.52	1.52	0.000								
yes	yes	yes	no	no	26	R2RS	LLHS				RPO	RPO170822	2010	Pohaku	2017-08-22	8:21										RPO170822	26.6	33.6	6.20	93.1	8.11	1.07	1.07	1.07	1.07	0.000								
yes	yes	yes	no	no	26	R2RS	LLHS				RKS	RKS170822	2071	Kaanapali Shores	2017-08-22	8:43										RKS170822	26.5	31.1	6.42	94.9	8.11	2.93	2.93	2.93	2.93	0.000								
yes	yes	yes	no	no	26	R2RS	LLHS				RAB	RAB170822	2017	Airport Beach	2017-08-22	9:03										RAB170822	27.0	34.5	6.57	100.0	8.17	0.41	0.41	0.41	0.41	0.000								
yes	yes	yes	no	no	26	R2RS	LLHS				RCB	RCB170822	2020	Canoe Beach	2017-08-22	9:22										RCB170822	27.0	33.1	6.92	104.4	8.18	5.89	5.89	5.89	5.89	0.000								
yes	yes	yes	no	no	26	R2RS	LLHS				RWA	RWA170822	2021	Wahikuli	2017-08-22	9:46										RWA170822	27.1	34.0	6.63	100.6	8.17	1.57	1.57	1.57	1.57	0.000								
yes	yes	yes	no	no	27	R2RS	LLHS				RNS	RNS170912	2006	Napili Bay	2017-09-12	7:56										RNS170912	27.1	34.4	6.31	96.5	8.08	1.20	1.20	1.20	1.20	0.000								
yes	yes	yes	no	no	27	R2RS	LLHS				RPO	RPO170912	2010	Pohaku	2017-09-12	8:22										RPO170912	27.5	34.3	6.32	96.9	8.13	6.88	6.88	6.88	6.88	0.000								
yes	yes	yes	no	no	27	R2RS	LLHS				RKS	RKS170912	2071	Kaanapali Shores	2017-09-12	8:42										RKS170912	27.4	34.5	6.07	93.0	8.08	6.49	6.49	6.49	6.49	0.000								
yes	yes	yes	no	no	27	R2RS	LLHS				RAB	RAB170912	2017	Airport Beach	2017-09-12	9:02										RAB170912	28.1	34.5	6.38	98.8	8.15	0.53	0.53	0.53	0.53	0.000								
yes	yes	yes	no	no	27	R2RS	LLHS				RCB	RCB170912	2020	Canoe Beach	2017-09-12	9:22										RCB170912	28.0	34.7	6.60	102.3	8.18	1.70	1.70	1.70	1.70	0.000								
yes	yes	yes	no	no	27	R2RS	LLHS				RWA	RWA170912	2021	Wahikuli	2017-09-12	9:38										RWA170912	28.0	34.6	6.51	100.8	8.17	1.25	1.25	1.25	1.25	0.000								
yes	yes	yes	no	no	28	R2RS	LLHS	TF	MS	TS	RNS	RNS171003	2006	Napili Bay	2017-10-03	8:14	1	1	4	2	3	14	0	0	Trades	RNS171003	27.0	33.7	6.59	101.0	8.14	2.33	2.48	2.51	2.44	0.040		1	0		0	6	0	RNS erosion, drop off more evident
yes	yes	yes	no	no	28	R2RS	LLHS	TF	MS	TS	RPO	RPO171003	2010	Pohaku	2017-10-03	8:40	1	1	4	2	3	14	0	0	Trades	RPO171003	26.8	32.4	6.29	94.6	8.15	3.15	3.46	5.79	4.13	0.349		2	1		2	2	0	RPO surf is up today
yes	yes	yes	no	no	28	R2RS	LLHS	TF	MS	TS	RKS	RKS171003	2071	Kaanapali Shores	2017-10-03	8:58	1	1	4	2	3	14	0	0	Trades	RKS171003	27.1	34.2	6.41	97.8	8.11	3.05	3.22	3.39	3.22	0.053		1	0		3	9	0	RKS beach very busy
yes	yes	yes	no	no	28	R2RS	LLHS	TF	MS	TS	RAB	RAB171003	2017	Airport Beach	2017-10-03	9:16	1	1	4	2	3	14	0	0	Trades	RAB171003	27.9	34.0	6.49	100.0	8.19	0.50	0.79	0.67	0.65	0.223		1	1		10	10	0	RAB beach very busy
yes	yes	yes	no	no	28	R2RS	LLHS	TF	MS	TS	RCB	RCB171003	2020	Canoe Beach	2017-10-03	9:36	1	1	4	2	3	14	0	0	Trades	RCB171003	28.0	33.3	6.59	101.3	8.19	5.65	6.58	6.00	6.08	0.077		0	0		3	6	0	
yes	yes	yes	no	no	28	R2RS	LLHS	TF	MS	TS	RWA	RWA171003	2021	Wahikuli	2017-10-03	9:52	1	1	4	2	3	14	0	0	Trades	RWA171003	27.6	33.4	6.52	99.8	8.20	0.50	0.50	0.49	0.50	0.012		1	1		2	0	0	
yes	yes	yes	no	no	29	R2RS	LLHS	TF	CM		RNS	RNS171024	2006	Napili Bay	2017-10-24	8:24	2	3	3	1	2	5	8	4	Kona	RNS171024	26.3	33.5	6.31	94.8	8.10	17.50	16.20	16.50	16.73	0.041		1	0		2	1	0	huge rain storm last night with thunder, ligtning, winds - power outages all over Maui, light rain while taking sample
yes	yes	yes	no	no	29	R2RS	LLHS	TF	CM		RPO	RPO171024	2010	Pohaku	2017-10-24	8:50	2	3	3	1	2	5	7	4	Kona	RPO171024	26.5	33.3	6.34	96.3	8.15	14.50	15.60	15.30	15.13	0.038		1	0		0	0	0	huge rain storm last night with thunder, ligtning, winds - power outages all over Maui - no rain while sampling - water brown near shore, no rain while taking sample
yes	yes	yes	no	no	29	R2RS	LLHS	TF	CM		RKS	RKS171024	2071	Kaanapali Shores	2017-10-24	9:13	2	3	3	1	2	5	8	4	Kona	RKS171024	26.7	33.2	6.60	99.5	8.16	5.48	5.43	5.47	5.46	0.005		1	0		0	6	0	huge rain storm last night with thunder, ligtning, winds - power outages all over Maui -  while taking sample saw minor flooding in parking lot diverted to beach, while there diverted water was not going into the ocean, light rain while taking sample
yes	yes	yes	no	no	29	R2RS	LLHS	TF	CM		RAB	RAB171024	2017	Airport Beach	2017-10-24	9:35	2	3	3	1	2	5	2	4	Kona	RAB171024	27.0	33.6	6.57	99.8	8.18	1.81	1.78	1.66	1.75	0.045		0	1		9	21	0	huge rain storm last night with thunder, ligtning, winds - power outages all over Maui, no rain while taking sample
yes	yes	yes	no	no	29	R2RS	LLHS	TF	CM		RCB	RCB171024	2020	Canoe Beach	2017-10-24	9:57	2	3	3	1	2	5	7	4	Kona	RCB171024	26.9	33.2	6.68	101.1	8.17	9.88	9.97	9.81	9.89	0.008		1	0		0	2	0	huge rain storm last night with thunder, ligtning, winds - power outages all over Maui, light rain while taking sample, one dog noted on beach
yes	yes	yes	no	no	29	R2RS	LLHS	TF	CM		RWA	RWA171024	2021	Wahikuli	2017-10-24	10:20	2	3	3	1	2	5	8	4	Kona	RWA171024	26.9	33.1	6.67	100.9	8.19	6.20	5.87	7.69	6.59	0.147		1	1		0	0	2	huge rain storm last night with thunder, ligtning, winds - power outages all over Maui, no rain while taking sample (not in data sheet CM)
yes	yes	yes	no	no	30	R2RS	LLHS	TF	MS	BJ	RNS	RNS171114	2006	Napili Bay	2017-11-14	8:16	1	1	4	2	3	26	1	1	Trades	RNS171114	26.0	34.9	6.71	100.8	8.16	1.15	1.08	1.20	1.14	0.053		2	0		0	10	0	at Napili Bay sampled 20 yards north of usual testing site because of the shore break, misty rain while sampling
yes	yes	yes	no	no	30	R2RS	LLHS	TF	MS	BJ	RPO	RPO171114	2010	Pohaku	2017-11-14	8:45	1	1	4	2	3	26	1	1	Trades	RPO171114	25.9	32.2	6.77	99.7	8.17	8.73	8.62	9.81	9.05	0.073		2	0		10	2	0	at Pohaku gave 4 cards to man who said he signed up on web site, may want to volunteer. will put up at Kahana, Napili, Canoe Beach - misty rain while sampling
yes	yes	yes	no	no	30	R2RS	LLHS	TF	MS	BJ	RKS	RKS171114	2071	Kaanapali Shores	2017-11-14	9:10	1	1	4	2	3	26	1	0	Trades	RKS171114	26.1	34.8	6.73	101.0	8.18	2.84	2.70	2.83	2.79	0.028		2	1		3	15	0	
yes	yes	yes	no	no	30	R2RS	LLHS	TF	MS	BJ	RAB	RAB171114	2017	Airport Beach	2017-11-14	9:29	1	1	4	2	3	26	1	0	Trades	RAB171114	26.5	34.5	6.61	99.7	8.17	2.87	2.68	2.36	2.64	0.098		1	2		20	20	0	
yes	yes	yes	no	no	30	R2RS	LLHS	TF	MS	BJ	RCB	RCB171114	2020	Canoe Beach	2017-11-14	9:49	1	1	4	2	3	26	1	0	Trades	RCB171114	27.1	34.1	6.44	98.0	8.18	4.21	3.50	3.36	3.69	0.124		1	3		10	0	0	Canoe Beach warning sign dated 11/2/17
yes	yes	yes	no	no	30	R2RS	LLHS	TF	MS	BJ	RWA	RWA171114	2021	Wahikuli	2017-11-14	10:04	1	1	4	2	3	26	1	0	Trades	RWA171114	27.2	34.5	6.50	99.2	8.20	1.27	1.20	1.15	1.21	0.050		1	4		6	3	0	
yes	yes	yes	no	no	31	R2RS	LLHS	TF	BJ	DR	RNS	RNS171205	2006	Napili Bay	2017-12-05	8:06	2	3	3	1	2	18	4	1	Trades	RNS171205	24.2	35.2	6.89	100.0	8.17	1.04	1.14	1.08	1.09	0.046		2	3		1	1	0	
yes	yes	yes	no	no	31	R2RS	LLHS	TF	BJ	DR	RPO	RPO171205	2010	Pohaku	2017-12-05	8:31	2	3	3	1	2	18	4	1	Trades	RPO171205	23.5	34.5	6.96	99.3	8.17	31.10	31.80	32.60	31.83	0.024		1	2		0	0	0	brown water, lots of limu on rocks
yes	yes	yes	no	no	31	R2RS	LLHS	TF	BJ	DR	RKS	RKS171205	2071	Kaanapali Shores	2017-12-05	8:52	2	3	3	1	2	18	4	1	Trades	RKS171205	23.5	34.0	7.01	99.8	8.17	10.10	9.83	10.40	10.11	0.028		2	3		0	0	0	no beach, brown water
yes	yes	yes	no	no	31	R2RS	LLHS	TF	BJ	DR	RAB	RAB171205	2017	Airport Beach	2017-12-05	9:13	2	3	3	1	2	18	4	1	Trades	RAB171205	24.5	34.5	6.82	99.0	8.18	6.41	6.78	6.52	6.57	0.029		1	4		0	6	0	
yes	yes	yes	no	no	31	R2RS	LLHS	TF	BJ	DR	RCB	RCB171205	2020	Canoe Beach	2017-12-05	9:33	2	3	3	1	2	18	4	1	Trades	RCB171205	25.5	34.4	6.84	101.0	8.20	2.13	2.10	2.27	2.17	0.042		1	4		0	3	0	
yes	yes	yes	no	no	31	R2RS	LLHS	TF	BJ	DR	RWA	RWA171205	2021	Wahikuli	2017-12-05	9:51	2	3	3	1	2	18	4	1	Trades	RWA171205	25.1	33.8	6.83	100.0	8.23	1.55	1.57	1.58	1.57	0.010		1	4		0	0	0	
yes	yes	yes	no	no	32	R2RS	LLHS	DR	TF		RNS	RNS171219	2006	Napili Bay	2017-12-19	8:21	1	1	4	2	3	3	8	1	Kona	RNS171219	24.8	35.2	6.72	98.9	8.16	1.15	1.28	1.08	1.17	0.087		2	0		2	3	0	upon return to lab replaced batteries in HQ40D meter
yes	yes	yes	no	no	32	R2RS	LLHS	DR	TF		RPO	RPO171219	2010	Pohaku	2017-12-19	8:55	1	1	4	2	3	3	8	1	Kona	RPO171219	24.8	34.0	6.74	98.7	8.16	24.50	23.50	22.20	23.40	0.049		1	0		0	2	0	brown plume, 2 fishermen, upon return to lab replaced batteries in HQ40D meter
yes	yes	yes	no	no	32	R2RS	LLHS	DR	TF		RKS	RKS171219	2071	Kaanapali Shores	2017-12-19	9:21	1	1	4	2	3	3	8	1	Kona	RKS171219	24.9	34.9	6.68	98.4	8.18	26.20	25.50	24.90	25.53	0.025		1	0		0	0	0	brown close to shore, upon return to lab replaced batteries in HQ40D meter
yes	yes	yes	no	no	32	R2RS	LLHS	DR	TF		RAB	RAB171219	2017	Airport Beach	2017-12-19	9:46	1	1	4	2	3	3	8	1	Kona	RAB171219	25.1	34.8	6.46	95.4	8.18	5.57	5.00	4.46	5.01	0.111		1	0		3	1	0	upon return to lab replaced batteries in HQ40D meter
yes	yes	yes	no	no	32	R2RS	LLHS	DR	TF		RCB	RCB171219	2020	Canoe Beach	2017-12-19	10:10	1	1	4	2	3	3	8	1	Kona	RCB171219	25.2	34.2	6.64	97.9	8.20	2.03	1.96	2.13	2.04	0.042		0	0		1	6	0	lots of fishermen, upon return to lab replaced batteries in HQ40D meter
yes	yes	yes	no	no	32	R2RS	LLHS	DR	TF		RWA	RWA171219	2021	Wahikuli	2017-12-19	10:30	1	1	4	2	3	3	8	1	Kona	RWA171219	24.9	33.1	6.74	98.5	8.21	1.35	1.15	1.14	1.21	0.098		0	1		0	0	0	upon return to lab replaced batteries in HQ40D meter
yes	yes	yes	no	no	33	R2RS	LLHS	TF	MS	BJ	RNS	RNS180109	2006	Napili Bay	2018-01-09	8:15	2	3	3	1	2	23	0	0	Trades	RNS180109	23.6	34.0	6.95	99.3	8.10	0.60	0.55	0.50	0.55	0.091		1	0		3	2	0	
yes	yes	yes	no	no	33	R2RS	LLHS	TF	MS	BJ	RPO	RPO180109	2010	Pohaku	2018-01-09	8:47	2	3	3	1	2	23	0	0	Trades	RPO180109	24.1	33.9	6.80	97.6	8.16	2.32	2.60	2.42	2.45	0.058		1	0		12	3	0	
yes	yes	yes	no	no	33	R2RS	LLHS	TF	MS	BJ	RKS	RKS180109	2071	Kaanapali Shores	2018-01-09	9:09	2	3	3	1	2	23	0	0	Trades	RKS180109	23.7	34.5	6.97	99.8	8.15	11.90	12.70	12.60	12.40	0.035		1	0		0	4	0	lots of beach erosion
yes	yes	yes	no	no	33	R2RS	LLHS	TF	MS	BJ	RAB	RAB180109	2017	Airport Beach	2018-01-09	9:26	2	3	3	1	2	23	0	0	Trades	RAB180109	24.8	34.2	6.64	96.8	8.17	1.38	1.32	1.56	1.42	0.088		0	0		6	20	0	
yes	yes	yes	no	no	33	R2RS	LLHS	TF	MS	BJ	RCB	RCB180109	2020	Canoe Beach	2018-01-09	9:46	2	3	3	1	2	23	0	0	Trades	RCB180109	25.0	34.4	6.74	98.7	8.18	7.32	8.02	7.62	7.65	0.046		1	0		7	18	0	
yes	yes	yes	no	no	33	R2RS	LLHS	TF	MS	BJ	RWA	RWA180109	2021	Wahikuli	2018-01-09	10:03	2	3	3	1	2	23	0	0	Trades	RWA180109	24.9	33.5	6.99	101.6	8.20	1.98	2.06	2.02	2.02	0.020		2	1		4	1	0	
yes	yes	yes	no	no	34	R2RS	LLHS	TS	BJ	CM	RNS	RNS180130	2006	Napili Bay	2018-01-30	8:15	1	1	4	2	3	14	0	0	Kona	RNS180130	23.7	34.5	6.89	99.8	8.18	2.32	1.75	1.88	1.98	0.151		2	1		0	1	0	waves just outside Napili Bay 3-4 ft, only 2 ft where sample taken
yes	yes	yes	no	no	34	R2RS	LLHS	TS	BJ	CM	RPO	RPO180130	2010	Pohaku	2018-01-30	8:48	1	1	4	2	3	14	0	0	Kona	RPO180130	23.8	33.3	6.97	100.2	8.17	19.70	21.30	20.30	20.43	0.040		3	2	0	3	3	0	
yes	yes	yes	no	no	34	R2RS	LLHS	TS	BJ	CM	RKS	RKS180130	2071	Kaanapali Shores	2018-01-30	9:10	1	1	4	2	3	14	0	0	Kona	RKS180130	23.9	34.6	6.84	99.5	8.18	6.40	6.76	6.52	6.56	0.028		2	1		1	0	0	access difficult due to severe erosion, large boulders at access point, and sandbags at hotel, requested review of site access with Dana - gathered 2 buckets of seawater
yes	yes	yes	no	no	34	R2RS	LLHS	TS	BJ	CM	RAB	RAB180130	2017	Airport Beach	2018-01-30	9:39	1	1	4	2	3	14	0	0	Kona	RAB180130	24.1	34.4	6.83	99.3	8.19	9.22	7.24	9.87	8.78	0.156		2	4		3	18	0	large particles in seawater made turbidity results more variable
yes	yes	yes	no	no	34	R2RS	LLHS	TS	BJ	CM	RCB	RCB180130	2020	Canoe Beach	2018-01-30	10:03	1	1	4	2	3	14	0	0	Kona	RCB180130	24.1	33.0	6.89	99.6	8.20	1.42	1.54	1.64	1.53	0.072		1	4		0	5	0	choppy water
yes	yes	yes	no	no	34	R2RS	LLHS	TS	BJ	CM	RWA	RWA180130	2021	Wahikuli	2018-01-30	10:25	1	1	4	2	3	14	0	0	Kona	RWA180130	24.2	33.2	6.84	99.0	8.20	2.16	2.19	2.22	2.19	0.014		1	4		1	3	0	choppy water
yes	yes	yes	no	no	35	R2RS	LLHS	TS	TF	MS	RNS	RNS180220	2006	Napili Bay	2018-02-20	8:20	2	3	3	2	2	6	0	0	Kona	RNS180220	23.5	34.2	7.01	100.2	8.08	1.19	1.27	1.27	1.24	0.037		1	0	0	4	10	0	very calm day for wind and waves, very rainy until yesterday
yes	yes	yes	no	no	35	R2RS	LLHS	TS	TF	MS	RPO	RPO180220	2010	Pohaku	2018-02-20	8:42	2	3	3	2	2	6	0	0	Kona	RPO180220	24.0	34.1	6.65	95.8	8.13	2.45	2.74	2.81	2.67	0.072		0	0	0	1	4	0	very calm day for wind and waves, very rainy until yesterday
yes	yes	yes	no	no	35	R2RS	LLHS	TS	TF	MS	RKS	RKS180220	2071	Kaanapali Shores	2018-02-20	9:05	2	3	3	2	2	6	0	0	Kona	RKS180220	23.3	32.8	7.09	100.2	8.15	2.90	2.97	2.95	2.94	0.012		1	0	0	0	4	0	very calm day for wind and waves, very rainy until yesterday, visitors asked what team was doing
yes	yes	yes	no	no	35	R2RS	LLHS	TS	TF	MS	RAB	RAB180220	2017	Airport Beach	2018-02-20	9:23	2	3	3	2	2	6	0	0	Kona	RAB180220	24.3	34.2	6.90	99.9	8.17	1.75	1.92	1.75	1.81	0.054		0	1	0	10	20	0	very calm day for wind and waves, very rainy until yesterday, visitors asked what team was doing
yes	yes	yes	no	no	35	R2RS	LLHS	TS	TF	MS	RCB	RCB180220	2020	Canoe Beach	2018-02-20	9:41	2	3	3	2	2	6	0	0	Kona	RCB180220	24.7	34.3	6.85	99.8	8.18	1.73	1.76	1.76	1.75	0.010		0	0	0	6	15	0	very calm day for wind and waves, very rainy until yesterday, lifeguard asked about the water quality
yes	yes	yes	no	no	35	R2RS	LLHS	TS	TF	MS	RWA	RWA180220	2021	Wahikuli	2018-02-20	9:58	2	3	3	2	2	6	0	0	Kona	RWA180220	24.4	32.5	6.99	100.4	8.19	1.25	1.33	1.39	1.32	0.053		1	1	0	8	10	0	very calm day for wind and waves, very rainy until yesterday
yes	yes	yes	no	no	36	R2RS	LLHS	TF	TS	BJ	RNS	RNS180313	2006	Napili Bay	2018-03-13	8:10	2	1	3	2	2	26	8	1	Trades	RNS180313	22.8	34.4	7.04	99.3	8.16	1.14	1.32	1.39	1.28	0.100		3	2		0	2	0	dark and dismal day, light rain, not sure about stream flow
yes	yes	yes	no	no	36	R2RS	LLHS	TF	TS	BJ	RPO	RPO180313	2010	Pohaku	2018-03-13	8:40	2	1	3	2	2	26	8	1	Trades	RPO180313	22.8	32.2	7.13	99.1	8.16	8.40	8.21	8.62	8.41	0.024		3	3		10	6	0	dark and dismal day, light rain, not sure about stream flow
yes	yes	yes	no	no	36	R2RS	LLHS	TF	TS	BJ	RKS	RKS180313	2071	Kaanapali Shores	2018-03-13	9:02	2	1	3	2	2	26	8	1	Trades	RKS180313	21.5	24.0	7.66	99.2	8.18	7.91	7.87	8.02	7.93	0.010		3	2		1	2	0	dark and dismal day, light rain, not sure about stream flow. parking has become tighter due to workmen shoring up beach to protect the hotel
yes	yes	yes	no	no	36	R2RS	LLHS	TF	TS	BJ	RAB	RAB180313	2017	Airport Beach	2018-03-13	9:22	2	1	3	2	2	26	8	1	Trades	RAB180313	23.6	33.9	6.88	98.0	8.16	7.63	8.90	7.62	8.05	0.091		2	0		10	10	0	dark and dismal day, light rain, not sure about stream flow
yes	yes	yes	no	no	36	R2RS	LLHS	TF	TS	BJ	RCB	RCB180313	2020	Canoe Beach	2018-03-13	9:39	2	1	3	2	2	26	8	1	Trades	RCB180313	24.3	33.0	6.97	99.9	8.18	1.47	1.30	1.46	1.41	0.068		2	0		0	1	0	dark and dismal day, light rain, not sure about stream flow
yes	yes	yes	no	no	36	R2RS	LLHS	TF	TS	BJ	RWA	RWA180313	2021	Wahikuli	2018-03-13	9:56	2	1	3	2	2	26	8	1	Trades	RWA180313	24.4	34.1	6.84	98.9	8.20	0.90	0.91	0.94	0.92	0.023		1	0		0	0	0	dark and dismal day, light rain, not sure about stream flow
yes	yes	yes	no	no	37	R2RS	LLHS	TF	TS	BJ	RNS	RNS180403	2006	Napili Bay	2018-04-03	8:20	1	3	4	1	3	18	5	3	Kona	RNS180403	24.8	33.0	6.96	102.0	8.15	0.96	1.02	1.34	1.11	0.185		0	0		10	60	0	big storms previous night ... calm in morning.
yes	yes	yes	no	no	37	R2RS	LLHS	TF	TS	BJ	RPO	RPO180403	2010	Pohaku	2018-04-03	8:42	1	3	4	1	3	18	5	3	Kona	RPO180403	24.5	32.8	6.65	96.7	8.18	2.15	2.23	2.30	2.23	0.034		0	0		3	8	0	watched workers previous day moving sand at Pohaku and clearing out drain
yes	yes	yes	no	no	37	R2RS	LLHS	TF	TS	BJ	RKS	RKS180403	2071	Kaanapali Shores	2018-04-03	9:02	1	3	4	1	3	18	5	3	Kona	RKS180403	24.6	33.7	6.82	99.7	8.17	8.60	8.44	8.08	8.37	0.032		0	3		0	9	0	big storms previous night ... calm in morning.
yes	yes	yes	no	no	37	R2RS	LLHS	TF	TS	BJ	RAB	RAB180403	2017	Airport Beach	2018-04-03	9:20	1	3	4	1	3	18	5	3	Kona	RAB180403	25.2	33.7	6.85	101.2	8.22	1.72	1.76	1.76	1.75	0.013		1	3		10	10	0	cloudier at airport beach with dark clouds.
yes	yes	yes	no	no	37	R2RS	LLHS	TF	TS	BJ	RCB	RCB180403	2020	Canoe Beach	2018-04-03	9:39	1	3	4	1	3	18	5	3	Kona	RCB180403	24.9	33.8	6.82	100.3	8.21	1.95	1.99	2.14	2.03	0.049		2	3		3	9	0	big storms previous night ... calm in morning.
yes	yes	yes	no	no	37	R2RS	LLHS	TF	TS	BJ	RWA	RWA180403	2021	Wahikuli	2018-04-03	9:54	1	3	4	1	3	18	5	3	Kona	RWA180403	24.7	33.7	6.81	99.9	8.22	0.93	0.85	0.94	0.91	0.054		2	4		0	2	0	light rain at Wahikuli, windier and higher waves.
yes	yes	yes	no	no	38	R2RS	LLHS	TF	MS	BJ	RNS	RNS180424	2006	Napili Bay	2018-04-24	8:14	2	1	3	2	2	9	7	2	Trades	RNS180424	24.2	33.4	6.99	100.4	8.12	1.26	1.32	1.49	1.36	0.088		1	2		1	4	0	rained in last 24 hours, dark clouds/rain while testing
yes	yes	yes	no	no	38	R2RS	LLHS	TF	MS	BJ	RPO	RPO180424	2010	Pohaku	2018-04-24	8:37	2	1	3	2	2	9	7	1	Trades	RPO180424	24.5	32.1	6.53	93.3	8.14	1.69	2.03	1.94	1.89	0.093		1	2		0	5	0	rained in last 24 hours, sprinkling light rain while testing, lots of limu floating in water
yes	yes	yes	no	no	38	R2RS	LLHS	TF	MS	BJ	RKS	RKS180424	2071	Kaanapali Shores	2018-04-24	8:56	2	1	3	2	2	9	7	2	Trades	RKS180424	24.2	33.4	7.02	100.8	8.12	2.55	2.10	2.42	2.36	0.098		1	2		0	2	0	rained in last 24 hours, stream flowing north of sample site
yes	yes	yes	no	no	38	R2RS	LLHS	TF	MS	BJ	RAB	RAB180424	2017	Airport Beach	2018-04-24	9:15	2	1	3	2	2	9	7	2	Trades	RAB180424	24.9	33.8	6.76	98.4	8.15	0.66	0.68	0.67	0.67	0.015		1	3		0	10	0	rained in last 24 hours, getting windier
yes	yes	yes	no	no	38	R2RS	LLHS	TF	MS	BJ	RCB	RCB180424	2020	Canoe Beach	2018-04-24	9:33	2	1	3	2	2	9	5	1	Trades	RCB180424	25.2	32.6	7.10	103.2	8.16	1.98	1.92	1.76	1.89	0.060		2	3		0	5	0	rained in last 24 hours, sunny with light mist while testing, several fishermen set up
yes	yes	yes	no	no	38	R2RS	LLHS	TF	MS	BJ	RWA	RWA180424	2021	Wahikuli	2018-04-24	9:48	2	1	3	2	2	9	5	0	Trades	RWA180424	25.5	33.3	6.83	100.3	8.17	0.67	0.65	0.70	0.67	0.037		1	0		0	1	0	rained in last 24 hours, calm
yes	yes	yes	no	no	39	R2RS	LLHS	TF	MS	TS	RNS	RNS180515	2006	Napili Bay	2018-05-15	8:13	1	3	4	1	3	1	4	1	Trades	RNS180515	25.0	33.8	6.88	100.9	8.17	1.58	1.56	1.63	1.59	0.023		1	3		2	20	0	
yes	yes	yes	no	no	39	R2RS	LLHS	TF	MS	TS	RPO	RPO180515	2010	Pohaku	2018-05-15	8:35	1	3	4	1	3	1	1	1	Trades	RPO180515	25.0	31.3	6.94	100.4	8.19	2.20	2.53	2.90	2.54	0.138		1	3		0	11	0	Particularly big chunks in water contributing to variability in turbidity readings
yes	yes	yes	no	no	39	R2RS	LLHS	TF	MS	TS	RKS	RKS180515	2071	Kaanapali Shores	2018-05-15	8:54	1	3	4	1	3	1			Trades	RKS180515	23.2	13.8	7.79	98.8	8.23	9.40	9.27	9.60	9.42	0.018		1	3	2	0	10	0	Brown water near shore - CM checked stream to north which was running into ocean and very muddy, south swell, had trouble filtering nutrient sample and didn't get as large a filtered sample since first filter clogged and used a second filter to filter the last 10 ml
yes	yes	yes	no	no	39	R2RS	LLHS	TF	MS	TS	RAB	RAB180515	2017	Airport Beach	2018-05-15	9:20	1	3	4	1	3	1			Trades	RAB180515	25.7	33.6	6.83	101.5	8.21	2.90	2.75	3.62	3.09	0.151		0	4		5	20	0	
yes	yes	yes	no	no	39	R2RS	LLHS	TF	MS	TS	RCB	RCB180515	2020	Canoe Beach	2018-05-15	9:38	1	3	4	1	3	1			Trades	RCB180515	25.6	33.0	6.75	99.8	8.19	2.12	2.03	2.14	2.10	0.028		1	3		3	20	0	brown water only to about 10 feet from shore, 3 fishermen on the beach with 12 fishing poles set up in the surf, canoes going by
yes	yes	yes	no	no	39	R2RS	LLHS	TF	MS	TS	RWA	RWA180515	2021	Wahikuli	2018-05-15	9:54	1	3	4	1	3	1	6	0	Trades	RWA180515	25.4	33.1	6.82	100.3	8.22	1.75	1.79	1.78	1.77	0.012		1	3		0	3	0	
